Title,Author,Gitenberg Status,Formatting Complexity,Formatting Notes,Gitenberg URL,Repo Cover,RTC 1st GEN,RTC 2nd GEN,RTC Other Gen,RTC Cover?,RTC Good Cover?,Need to Add to CAN Submit List,CAN REQUEST DATE,Notes,"Name in rtc/books.json, Official Name",ISBN 13,Tagged for ePUB gen Process (y/n)
Dubliners,James Joyce,"Needs Build, Needs Cover",,,https://github.com/GITenberg/Dubliners_2814,,X,,,YES,,,,,Dubliners,,
Adventures of Huckleberry Finn,Mark Twain,Needs Check,,,https://github.com/GITenberg/Adventures-of-Huckleberry-Finn_76,YES,X,,,YES,,,,,The Adventures of Huckleberry Finn,,
The Time Machine,H. G. Wells,Needs Check,,,https://github.com/GITenberg/The-Time-Machine_35,,X,,,YES,,,,,The Time Machine,,
Ulysses,James Joyce,"weird copyright, avoid",,,,,X,,,YES,,,,,Ulysses,,
The Belly of Paris,Emile Zola,ASCIIDOC,,,https://github.com/GITenberg/The-Fat-and-the-Thin_5744,,,,X,YES,,,,,,,
Siddhartha,Hermann Hesse,ASCIIDOC,,,,,,X,,YES,,,,,,,
The Phantom of the Opera,Gaston Leroux,ASCIIDOC,,,,,,X,,YES,,,,,,,
Moonstone,Wilkie Collins,ASCIIDOC,,,,,,,X,YES,,X,,,,,
The Belly of Paris,Émile Zola,ASCIIDOC,,,,,,,X,YES,,X,,,,,
Washington Square,Henry James,ASCIIDOC,,,,,,,X,YES,,X,,,,,
Billy Budd,Herman Melville,,,,,,,,X,YES,,X,,,,,
The Kreutzer Sonata,Leo Tolstoy,ASCIIDOC,,,,,,,X,YES,,X,,,,,
Northanger Abbey,Jane Austen,ASCIIDOC,,,,,,,,NO,,,,,,,
Mansfield Park,Jane Austen,,,,,,,,,NO,,,,,,,
Leaves of Grass,Walt Whitman,,,,,,,,,NO,,,,,,,
The Trial,Franz Kafka,,,,,,,,,NO,,,,,,,
The Idiot,Fyodor Dostoyevsky,ASCIIDOC,,,,,,,,NO,,,,,,,
Kidnapped,Robert Louis Stevenson,,,,,,,,,NO,,,,,,,
White Fang,Jack London,ASCIIDOC,,,,,,,,NO,,,,,,,
Age of Innocence,Edith Wharton,ASCIIDOC,,,,,,,,NO,,,,,,,
Ethan Frome,Edith Wharton,,,,,,,,,NO,,,,,,,
Jungle Tales of Tarzan,Edgar Rice Burroughs,ASCIIDOC,,,,,,,,NO,,,,,,,
The Lost Continent,Edgar Rice Burroughs,,,,,,,,,NO,,,,,,,
The Return of Tarzan,Edgar Rice Burroughs,,,,,,,,,NO,,,,,,,
Flappers and Philosophers,F. Scott Fitzgerald,,,,,,,,,NO,,,,,,,
